<S> <S>+BSTag
"İkiniz	<unk>
yaşlı	yaş <n> <D_lI> <adj> <Djn_0> <n>
yaşlı	yaş <n> <D_lI> <adj> <Djn_0> <n> <3s>
yaşlı	yaş <n> <D_lI> <adj> <Djn_0> <n> <3p>
yaşlı	yaş <n> <D_lI> <n>
yaşlı	yaş <n> <D_lI> <n> <3s>
yaşlı	yaş <n> <D_lI> <n> <3p>
bir	bir <adj> <Djn_0> <n>
bir	bir <adj> <Djn_0> <n> <3s>
bir	bir <adj> <Djn_0> <n> <3p>
bir	bir <num>
bir	bir <num> <Dmn_0> <n>
bir	bir <num> <Dmn_0> <n> <3s>
bir	bir <num> <Dmn_0> <n> <3p>
bir	bir <det>
Kaplumbağaydı.	kaplumbağa <n> <cpl_di> <3p>
Kaplumbağaydı.	kaplumbağa <n> <3p> <cpl_di>
</S> </S>+ESTag
<S> <S>+BSTag
Ona	ona <v> <t_imp> <3p>
Ona	on <n> <dat>
Ona	on <n> <dat> <3s>
Ona	on <n> <dat> <3p>
Ona	on <v> <t_opt> <3s>
Ona	on <v> <t_opt> <3p>
Ona	on <num> <Dmn_0> <n> <dat>
Ona	on <num> <Dmn_0> <n> <dat> <3s>
Ona	on <num> <Dmn_0> <n> <dat> <3p>
Ona	o <prn> <pers> <dat>
Ona	o <prn> <pers> <dat> <3s>
Ona	o <prn> <pers> <dat> <3p>
Kaplumbağa	kaplumbağa <n> <3s>
Kaplumbağa	kaplumbağa <n> <3p>
derdik..."	der <v> <vn_dik>
derdik..."	der <v> <vn_dik> <3s>
derdik..."	der <v> <vn_dik> <3p>
derdik..."	der <v> <part_dik>
derdik..."	der <v> <part_dik> <3s>
derdik..."	der <v> <part_dik> <3p>
derdik..."	de <v> <t_aor> <cpl_di> <1p>
Alice,	ali <n> <D_CA> <adj> <Djn_0> <n>
Alice,	ali <n> <D_CA> <adj> <Djn_0> <n> <3s>
Alice,	ali <n> <D_CA> <adj> <Djn_0> <n> <3p>
Alice,	ali <n> <D_CA> <adv>
Alice,	ali <n> <D_CA> <adv> <Dan_0> <n>
Alice,	ali <n> <D_CA> <adv> <Dan_0> <n> <3s>
Alice,	ali <n> <D_CA> <adv> <Dan_0> <n> <3p>
Alice,	ali <n> <D_CA> <n>
Alice,	ali <n> <D_CA> <n> <3s>
Alice,	ali <n> <D_CA> <n> <3p>
"Eğer	eğer <n> <3s>
"Eğer	eğer <n> <3p>
"Eğer	eğer <cnjsub>
"Eğer	eğ <v> <t_aor> <3s>
"Eğer	eğ <v> <t_aor> <3p>
kaplumbağa	kaplumbağa <n> <3s>
kaplumbağa	kaplumbağa <n> <3p>
değilse,	değil <not> <cpl_sa> <3p>
değilse,	değil <not> <3p> <cpl_sa>
değilse,	değ <v> <pass> <t_cond> <3s>
değilse,	değ <v> <pass> <t_cond> <3p>
neden	neden <adv> <Dan_0> <n>
neden	neden <adv> <Dan_0> <n> <3s>
neden	neden <adv> <Dan_0> <n> <3p>
neden	neden <n>
neden	neden <n> <3s>
neden	neden <n> <3p>
neden	ne <prn> <qst> <abl>
neden	ne <prn> <qst> <abl> <3s>
neden	ne <prn> <qst> <abl> <3p>
ona	ona <v> <t_imp> <3p>
ona	on <n> <dat>
ona	on <n> <dat> <3s>
ona	on <n> <dat> <3p>
ona	on <v> <t_opt> <3s>
ona	on <v> <t_opt> <3p>
ona	on <num> <Dmn_0> <n> <dat>
ona	on <num> <Dmn_0> <n> <dat> <3s>
ona	on <num> <Dmn_0> <n> <dat> <3p>
ona	o <prn> <pers> <dat>
ona	o <prn> <pers> <dat> <3s>
ona	o <prn> <pers> <dat> <3p>
kaplumbağa	kaplumbağa <n> <3s>
kaplumbağa	kaplumbağa <n> <3p>
diyorsun?"	<unk>
diye	de <v> <t_opt> <3p>
diye	diye <cnjsub>
