<S> <S>+BSTag
"Ama	ama <n> <3s>
"Ama	ama <n> <3p>
gerektiğini	gerek <v> <part_dik> <p3s> <acc> <3p>
gerektiğini	gerek <v> <cv_dik> <p3s> <acc>
düşündü.	düşün <n> <cpl_di> <3p>
düşündü.	düşün <n> <3p> <cpl_di>
düşündü.	düşün <v> <t_past> <3s>
düşündü.	düşün <v> <t_past> <3p>
düşündü.	düş <n> <p2s> <cpl_di> <3s>
düşündü.	düş <n> <p2s> <cpl_di> <3p>
düşündü.	düş <n> <p2s> <3p> <cpl_di>
düşündü.	düş <n> <gen> <cpl_di> <3s>
düşündü.	düş <n> <gen> <cpl_di> <3p>
düşündü.	düş <n> <gen> <3p> <cpl_di>
</S> </S>+ESTag
<S> <S>+BSTag
“Cheshire	<unk>
Kedisi,”	<unk>
diye	de <v> <t_opt> <3p>
diye	diye <cnjsub>
söze	söz <n> <dat> <3s>
söze	söz <n> <dat> <3p>
başladı	baş <n> <D_lA> <v> <t_past> <3p>
biraz	biraz <adj> <Djn_0> <n>
biraz	biraz <adj> <Djn_0> <n> <3s>
biraz	biraz <adj> <Djn_0> <n> <3p>
biraz	biraz <adv>
biraz	biraz <adv> <Dan_0> <n>
biraz	biraz <adv> <Dan_0> <n> <3s>
biraz	biraz <adv> <Dan_0> <n> <3p>
biraz	biraz <det>
çekingen	çekingen <n> <3s>
çekingen	çekingen <n> <3p>
bir	bir <adj> <Djn_0> <n>
bir	bir <adj> <Djn_0> <n> <3s>
bir	bir <adj> <Djn_0> <n> <3p>
bir	bir <num>
bir	bir <num> <Dmn_0> <n>
bir	bir <num> <Dmn_0> <n> <3s>
bir	bir <num> <Dmn_0> <n> <3p>
bir	bir <det>
tavırla,	tavır <n> <D_lA> <v> <t_imp> <3p>
tavırla,	tavır <n> <ins>
tavırla,	tavır <n> <ins> <3s>
tavırla,	tavır <n> <ins> <3p>
çünkü	çünkü <cnjadv>
kedinin	kedi <n> <p2s> <gen> <3s>
kedinin	kedi <n> <p2s> <gen> <3p>
kedinin	kedi <n> <gen>
kedinin	kedi <n> <gen> <3s>
kedinin	kedi <n> <gen> <3p>
bu	bu <prn> <dem> <3s>
bu	bu <prn> <dem> <3p>
bu	bu <det>
ismi	isim <n> <p3s> <3s>
ismi	isim <n> <p3s> <3p>
ismi	isim <n> <acc>
ismi	isim <n> <acc> <3s>
ismi	isim <n> <acc> <3p>
sevip	<unk>
sevmediğini	sev <v> <neg> <vn_dik> <p2s> <acc> <3s>
sevmediğini	sev <v> <neg> <vn_dik> <p2s> <acc> <3p>
sevmediğini	sev <v> <neg> <vn_dik> <p3s> <acc>
sevmediğini	sev <v> <neg> <vn_dik> <p3s> <acc> <3s>
sevmediğini	sev <v> <neg> <vn_dik> <p3s> <acc> <3p>
sevmediğini	sev <v> <neg> <part_dik> <p2s> <acc>
sevmediğini	sev <v> <neg> <part_dik> <p2s> <acc> <3s>
sevmediğini	sev <v> <neg> <part_dik> <p2s> <acc> <3p>
sevmediğini	sev <v> <neg> <part_dik> <p3s> <acc>
sevmediğini	sev <v> <neg> <part_dik> <p3s> <acc> <3s>
sevmediğini	sev <v> <neg> <part_dik> <p3s> <acc> <3p>
sevmediğini	sev <v> <neg> <cv_dik> <p3s> <acc>
hiç	hiç <adv> <Dan_0> <n>
hiç	hiç <adv> <Dan_0> <n> <3s>
hiç	hiç <adv> <Dan_0> <n> <3p>
hiç	hiç <n>
