<S> <S>+BSTag
"Sen	sen <prn> <pers> <3s>
"Sen	sen <prn> <pers> <3p>
gergin	gergi <n> <p2s>
gergin	gergi <n> <p2s> <3s>
gergin	gergi <n> <p2s> <3p>
ol,	ol <v> <t_imp> <3p>
ister	ister <n> <3s>
ister	ister <n> <3p>
ister	ister <cnjadv>
ister	iste <v> <t_aor> <3s>
ister	iste <v> <t_aor> <3p>
olma."	ol <v> <D_mA> <n> <3s>
olma."	ol <v> <D_mA> <n> <3p>
olma."	ol <v> <neg> <t_imp> <2s>
olma."	ol <v> <neg> <t_imp> <3p>
olma."	ol <v> <vn_ma>
olma."	ol <v> <vn_ma> <3s>
olma."	ol <v> <vn_ma> <3p>
olma."	ol <v> <cv_ma>
Şapkacı,	şapka <n> <D_CI> <adj> <Djn_0> <n>
Şapkacı,	şapka <n> <D_CI> <adj> <Djn_0> <n> <3s>
Şapkacı,	şapka <n> <D_CI> <adj> <Djn_0> <n> <3p>
Şapkacı,	şapka <n> <D_CI> <n>
Şapkacı,	şapka <n> <D_CI> <n> <3s>
Şapkacı,	şapka <n> <D_CI> <n> <3p>
titrek	titrek <n> <3s>
titrek	titrek <n> <3p>
bir	bir <adj> <Djn_0> <n>
bir	bir <adj> <Djn_0> <n> <3s>
bir	bir <adj> <Djn_0> <n> <3p>
bir	bir <num>
bir	bir <num> <Dmn_0> <n>
bir	bir <num> <Dmn_0> <n> <3s>
bir	bir <num> <Dmn_0> <n> <3p>
bir	bir <det>
sesle:	sesle <v> <t_imp> <3p>
sesle:	ses <n> <D_lA> <v> <t_imp> <2s>
sesle:	ses <n> <D_lA> <v> <t_imp> <3p>
sesle:	ses <n> <ins>
sesle:	ses <n> <ins> <3s>
sesle:	ses <n> <ins> <3p>
“Ben	<unk>
zavallı	zavallı <n> <3s>
zavallı	zavallı <n> <3p>
zavallı	zavallı <n> <3s>
zavallı	zavallı <n> <3p>
bir	bir <adj> <Djn_0> <n>
bir	bir <adj> <Djn_0> <n> <3s>
bir	bir <adj> <Djn_0> <n> <3p>
bir	bir <num>
bir	bir <num> <Dmn_0> <n>
bir	bir <num> <Dmn_0> <n> <3s>
bir	bir <num> <Dmn_0> <n> <3p>
bir	bir <det>
adamım,”	<unk>
diye	de <v> <t_opt> <3p>
diye	diye <cnjsub>
söze	söz <n> <dat> <3s>
söze	söz <n> <dat> <3p>
başladı.	baş <n> <D_lA> <v> <t_past> <3p>
</S> </S>+ESTag
<S> <S>+BSTag
“Çayıma	<unk>
daha	daha <adv> <Dan_0> <n>
daha	daha <adv> <Dan_0> <n> <3s>
daha	daha <adv> <Dan_0> <n> <3p>
daha	daha <n>
daha	daha <n> <3s>
daha	daha <n> <3p>
başlamamıştım...	<unk>
</S> </S>+ESTag
<S> <S>+BSTag
bir	bir <adj> <Djn_0> <n>
bir	bir <adj> <Djn_0> <n> <3s>
bir	bir <adj> <Djn_0> <n> <3p>
bir	bir <num>
bir	bir <num> <Dmn_0> <n>
bir	bir <num> <Dmn_0> <n> <3s>
bir	bir <num> <Dmn_0> <n> <3p>
bir	bir <det>
haftadan	hafta <n> <abl> <3s>
haftadan	hafta <n> <abl> <3p>
fazla	fazla <adj> <Djn_0> <n>
fazla	fazla <adj> <Djn_0> <n> <3s>
fazla	fazla <adj> <Djn_0> <n> <3p>
fazla	fazla <adv>
fazla	fazla <adv> <Dan_0> <n>
fazla	fazla <adv> <Dan_0> <n> <3s>
fazla	fazla <adv> <Dan_0> <n> <3p>
fazla	fazla <det>
fazla	faz <n> <D_lA> <v> <t_imp> <2s>
fazla	faz <n> <D_lA> <v> <t_imp> <3p>
fazla	faz <n> <ins>
fazla	faz <n> <ins> <3s>
fazla	faz <n> <ins> <3p>
sürmemişti...	sür <v> <neg> <t_narr> <cpl_di> <3p>
sürmemişti...	sür <v> <neg> <t_narr> <3p> <cpl_di>
</S> </S>+ESTag
<S> <S>+BSTag
ekmekle	ekmek <n> <D_lA> <v> <t_imp> <3p>
ekmekle	ekmek <n> <ins>
ekmekle	ekmek <n> <ins> <3s>
ekmekle	ekmek <n> <ins> <3p>
ekmekle	ek <v> <vn_mak> <ins>
ekmekle	ek <v> <vn_mak> <ins> <3s>
ekmekle	ek <v> <vn_mak> <ins> <3p>
ekmekle	ek <v> <vinf> <ins>
ekmekle	ek <v> <cv_mak> <ins>
tereyağı	tereyağ <n> <p3s>
tereyağı	tereyağ <n> <p3s> <3s>
tereyağı	tereyağ <n> <p3s> <3p>
tereyağı	tereyağ <n> <acc>
tereyağı	tereyağ <n> <acc> <3s>
tereyağı	tereyağ <n> <acc> <3p>
iyice	iyi <adj> <D_CA> <adj> <Djn_0> <n>
iyice	iyi <adj> <D_CA> <adj> <Djn_0> <n> <3s>
iyice	iyi <adj> <D_CA> <adj> <Djn_0> <n> <3p>
iyice	iyi <adj> <Djn_0> <n> <D_CA> <adj>
iyice	iyi <adj> <Djn_0> <n> <D_CA> <adj> <Djn_0> <n>
iyice	iyi <adj> <Djn_0> <n> <D_CA> <adj> <Djn_0> <n> <3s>
iyice	iyi <adj> <Djn_0> <n> <D_CA> <adj> <Djn_0> <n> <3p>
iyice	iyi <adj> <Djn_0> <n> <D_CA> <adv>
iyice	iyi <adj> <Djn_0> <n> <D_CA> <adv> <Dan_0> <n>
iyice	iyi <adj> <Djn_0> <n> <D_CA> <adv> <Dan_0> <n> <3s>
iyice	iyi <adj> <Djn_0> <n> <D_CA> <adv> <Dan_0> <n> <3p>
iyice	iyi <adj> <Djn_0> <n> <D_CA> <n>
iyice	iyi <adj> <Djn_0> <n> <D_CA> <n> <3s>
iyice	iyi <adj> <Djn_0> <n> <D_CA> <n> <3p>
iyice	iyi <adv> <Dan_0> <n> <D_CA> <adj>
iyice	iyi <adv> <Dan_0> <n> <D_CA> <adj> <Djn_0> <n>
iyice	iyi <adv> <Dan_0> <n> <D_CA> <adj> <Djn_0> <n> <3s>
iyice	iyi <adv> <Dan_0> <n> <D_CA> <adj> <Djn_0> <n> <3p>
iyice	iyi <adv> <Dan_0> <n> <D_CA> <adv>
iyice	iyi <adv> <Dan_0> <n> <D_CA> <adv> <Dan_0> <n>
iyice	iyi <adv> <Dan_0> <n> <D_CA> <adv> <Dan_0> <n> <3s>
iyice	iyi <adv> <Dan_0> <n> <D_CA> <adv> <Dan_0> <n> <3p>
iyice	iyi <adv> <Dan_0> <n> <D_CA> <n>
iyice	iyi <adv> <Dan_0> <n> <D_CA> <n> <3s>
iyice	iyi <adv> <Dan_0> <n> <D_CA> <n> <3p>
inceldiğinde...	incel <v> <vn_dik> <p2s> <loc> <3s>
inceldiğinde...	incel <v> <vn_dik> <p2s> <loc> <3p>
inceldiğinde...	incel <v> <vn_dik> <p3s> <loc>
inceldiğinde...	incel <v> <vn_dik> <p3s> <loc> <3s>
inceldiğinde...	incel <v> <vn_dik> <p3s> <loc> <3p>
inceldiğinde...	incel <v> <part_dik> <p2s> <loc>
inceldiğinde...	incel <v> <part_dik> <p2s> <loc> <3s>
inceldiğinde...	incel <v> <part_dik> <p2s> <loc> <3p>
inceldiğinde...	incel <v> <part_dik> <p3s> <loc>
inceldiğinde...	incel <v> <part_dik> <p3s> <loc> <3s>
inceldiğinde...	incel <v> <part_dik> <p3s> <loc> <3p>
inceldiğinde...	incel <v> <cv_dik> <p3s> <loc>
</S> </S>+ESTag
<S> <S>+BSTag
çayın	çay <n> <p2s> <3s>
çayın	çay <n> <p2s> <3p>
çayın	çay <n> <gen>
çayın	çay <n> <gen> <3s>
çayın	çay <n> <gen> <3p>
parıldamasıyla	parılda <v> <D_mA> <n> <p3s> <ins> <3s>
parıldamasıyla	parılda <v> <D_mA> <n> <p3s> <ins> <3p>
parıldamasıyla	parılda <v> <vn_ma> <p3s> <ins>
parıldamasıyla	parılda <v> <vn_ma> <p3s> <ins> <3s>
parıldamasıyla	parılda <v> <vn_ma> <p3s> <ins> <3p>
birlikte.”	<unk>
Kral,	kral <n> <3s>
Kral,	kral <n> <3p>
"Nenin	ne <prn> <qst> <p2s> <gen> <3s>
"Nenin	ne <prn> <qst> <p2s> <gen> <3p>
"Nenin	ne <prn> <qst> <gen>
"Nenin	ne <prn> <qst> <gen> <3s>
"Nenin	ne <prn> <qst> <gen> <3p>
parıldaması?"	parılda <v> <D_mA> <n> <p3s> <3s>
parıldaması?"	parılda <v> <D_mA> <n> <p3s> <3p>
parıldaması?"	parılda <v> <vn_ma> <p3s>
parıldaması?"	parılda <v> <vn_ma> <p3s> <3s>
parıldaması?"	parılda <v> <vn_ma> <p3s> <3p>
parıldaması?"	parılda <v> <cv_ma> <p3s>
diye	de <v> <t_opt> <3p>
diye	diye <cnjsub>
sordu.	sor <v> <t_past> <3p>
</S> </S>+ESTag
<S> <S>+BSTag
“Çayla	<unk>
başladı,”	<unk>
dedi	de <v> <t_past> <3p>
Şapkacı.	şapka <n> <D_CI> <adj> <Djn_0> <n>
Şapkacı.	şapka <n> <D_CI> <adj> <Djn_0> <n> <3s>
Şapkacı.	şapka <n> <D_CI> <adj> <Djn_0> <n> <3p>
Şapkacı.	şapka <n> <D_CI> <n>
