<S> <S>+BSTag
"Ne	ne <prn> <qst> <3s>
"Ne	ne <prn> <qst> <3p>
<S> <S>+BSTag
"Ama	ama <n> <3s>
"Ama	ama <n> <3p>
"Ama	ama <cnjcoo>
"Ama	ama <cnjadv>
sen	sen <prn> <pers> <3s>
sen	sen <prn> <pers> <3p>
de	de <v> <t_imp> <2s>
de	de <v> <t_imp> <3p>
öyle	öyle <adj> <Djn_0> <n>
öyle	öyle <adj> <Djn_0> <n> <3s>
öyle	öyle <adj> <Djn_0> <n> <3p>
öyle	öyle <adv>
öyle	öyle <adv> <Dan_0> <n>
öyle	öyle <adv> <Dan_0> <n> <3s>
öyle	öyle <adv> <Dan_0> <n> <3p>
öyle	öyle <ij>
çabuk	çabuk <adj> <Djn_0> <n>
çabuk	çabuk <adj> <Djn_0> <n> <3s>
çabuk	çabuk <adj> <Djn_0> <n> <3p>
çabuk	çabuk <adv>
çabuk	çabuk <adv> <Dan_0> <n>
çabuk	çabuk <adv> <Dan_0> <n> <3s>
çabuk	çabuk <adv> <Dan_0> <n> <3p>
güceniyorsun	<unk>
ki!"	ki <cnjadv>
Fare	fare <n> <3s>
Fare	fare <n> <3p>
sadece	sadece <adv> <Dan_0> <n>
sadece	sadece <adv> <Dan_0> <n> <3s>
sadece	sadece <adv> <Dan_0> <n> <3p>
sadece	sadece <n>
sadece	sadece <n> <3s>
sadece	sadece <n> <3p>
sadece	sade <n> <D_CA> <adj>
sadece	sade <n> <D_CA> <adj> <Djn_0> <n>
sadece	sade <n> <D_CA> <adj> <Djn_0> <n> <3s>
sadece	sade <n> <D_CA> <adj> <Djn_0> <n> <3p>
sadece	sade <n> <D_CA> <adv>
sadece	sade <n> <D_CA> <adv> <Dan_0> <n>
sadece	sade <n> <D_CA> <adv> <Dan_0> <n> <3s>
sadece	sade <n> <D_CA> <adv> <Dan_0> <n> <3p>
sadece	sade <n> <D_CA> <n>
sadece	sade <n> <D_CA> <n> <3s>
sadece	sade <n> <D_CA> <n> <3p>
homurdanarak	<unk>
cevap	cevap <n> <3s>
cevap	cevap <n> <3p>
verdi.	verdi <n> <3s>
verdi.	verdi <n> <3p>
verdi.	ver <v> <t_past> <3s>
verdi.	ver <v> <t_past> <3p>
</S> </S>+ESTag
<S> <S>+BSTag
"Lütfen	lütfen <adv> <Dan_0> <n>
"Lütfen	lütfen <adv> <Dan_0> <n> <3s>
"Lütfen	lütfen <adv> <Dan_0> <n> <3p>
"Lütfen	lütfen <n>
"Lütfen	lütfen <n> <3s>
"Lütfen	lütfen <n> <3p>
geri	geri <adv> <Dan_0> <n>
geri	geri <adv> <Dan_0> <n> <3s>
geri	geri <adv> <Dan_0> <n> <3p>
geri	geri <n>
geri	geri <n> <3s>
geri	geri <n> <3p>
dön	dön <v> <t_imp> <3p>
de	de <v> <t_imp> <2s>
de	de <v> <t_imp> <3p>
hikâyeni	<unk>
bitir!"	bit <v> <caus> <t_imp> <3p>
Alice,	ali <n> <D_CA> <adj> <Djn_0> <n>
Alice,	ali <n> <D_CA> <adj> <Djn_0> <n> <3s>
Alice,	ali <n> <D_CA> <adj> <Djn_0> <n> <3p>
Alice,	ali <n> <D_CA> <adv>
Alice,	ali <n> <D_CA> <adv> <Dan_0> <n>
Alice,	ali <n> <D_CA> <adv> <Dan_0> <n> <3s>
Alice,	ali <n> <D_CA> <adv> <Dan_0> <n> <3p>
Alice,	ali <n> <D_CA> <n>
Alice,	ali <n> <D_CA> <n> <3s>
Alice,	ali <n> <D_CA> <n> <3p>
onun	onun <n> <3s>
onun	onun <n> <3p>
onun	on <n> <p2s>
onun	on <n> <p2s> <3s>
onun	on <n> <p2s> <3p>
onun	on <n> <gen>
onun	on <n> <gen> <3s>
onun	on <n> <gen> <3p>
onun	on <v> <t_imp> <2p>
onun	on <num> <Dmn_0> <n> <p2s>
onun	on <num> <Dmn_0> <n> <p2s> <3s>
onun	on <num> <Dmn_0> <n> <p2s> <3p>
onun	on <num> <Dmn_0> <n> <gen>
onun	on <num> <Dmn_0> <n> <gen> <3s>
onun	on <num> <Dmn_0> <n> <gen> <3p>
onun	o <prn> <pers> <p2s>
onun	o <prn> <pers> <p2s> <3s>
onun	o <prn> <pers> <p2s> <3p>
onun	o <prn> <pers> <gen>
onun	o <prn> <pers> <gen> <3s>
onun	o <prn> <pers> <gen> <3p>
ardından	art <n> <p2s> <abl> <3s>
ardından	art <n> <p2s> <abl> <3p>
ardından	art <n> <p3s> <abl>
ardından	art <n> <p3s> <abl> <3s>
ardından	art <n> <p3s> <abl> <3p>
seslendi;	sesle <v> <pass> <t_past> <3p>
seslendi;	ses <n> <D_lAn> <v> <t_past> <3s>
seslendi;	ses <n> <D_lAn> <v> <t_past> <3p>
diğerleri	diğer <adj> <Djn_0> <n> <pl> <p3s> <3s>
diğerleri	diğer <adj> <Djn_0> <n> <pl> <p3s> <3p>
diğerleri	diğer <adj> <Djn_0> <n> <pl> <acc>
diğerleri	diğer <adj> <Djn_0> <n> <pl> <acc> <3s>
diğerleri	diğer <adj> <Djn_0> <n> <pl> <acc> <3p>
diğerleri	diğer <adj> <Djn_0> <n> <p3p>
diğerleri	diğer <adj> <Djn_0> <n> <p3p> <3s>
diğerleri	diğer <adj> <Djn_0> <n> <p3p> <3p>
de	de <v> <t_imp> <2s>
de	de <v> <t_imp> <3p>
koro	koro <n> <3s>
koro	koro <n> <3p>
halinde	hal <n> <p2s> <loc>
halinde	hal <n> <p2s> <loc> <3s>
halinde	hal <n> <p2s> <loc> <3p>
halinde	hal <n> <p3s> <loc>
halinde	hal <n> <p3s> <loc> <3s>
halinde	hal <n> <p3s> <loc> <3p>
katıldılar:	kat <v> <pass> <t_past> <3p>
“Evet,	<unk>
lütfen	lütfen <adv> <Dan_0> <n>
lütfen	lütfen <adv> <Dan_0> <n> <3s>
lütfen	lütfen <adv> <Dan_0> <n> <3p>
lütfen	lütfen <n>
lütfen	lütfen <n> <3s>
lütfen	lütfen <n> <3p>
söyle!”	<unk>
Ama	ama <n> <3s>
Ama	ama <n> <3p>
Ama	ama <cnjcoo>
Ama	ama <cnjadv>
Fare	fare <n> <3s>
Fare	fare <n> <3p>
başını	baş <n> <p2s> <acc> <3s>
başını	baş <n> <p2s> <acc> <3p>
başını	baş <n> <p3s> <acc>
başını	baş <n> <p3s> <acc> <3s>
başını	baş <n> <p3s> <acc> <3p>
sabırsızca	sabır <n> <Dnn_siz> <adj> <Djn_0> <n> <D_CA> <adj>
sabırsızca	sabır <n> <Dnn_siz> <adj> <Djn_0> <n> <D_CA> <adv>
sabırsızca	sabır <n> <Dnn_siz> <adj> <Djn_0> <n> <ca>
sabırsızca	sabır <n> <Dnn_siz> <adv> <Dan_0> <n> <D_CA> <adj>
sabırsızca	sabır <n> <Dnn_siz> <adv> <Dan_0> <n> <D_CA> <adv>
sabırsızca	sabır <n> <Dnn_siz> <adv> <Dan_0> <n> <ca>
salladı,	salla <v> <t_past> <3p>
salladı,	sal <n> <D_lA> <v> <t_past> <3s>
salladı,	sal <n> <D_lA> <v> <t_past> <3p>
biraz	biraz <adj> <Djn_0> <n>
biraz	biraz <adj> <Djn_0> <n> <3s>
biraz	biraz <adj> <Djn_0> <n> <3p>
biraz	biraz <adv>
biraz	biraz <adv> <Dan_0> <n>
biraz	biraz <adv> <Dan_0> <n> <3s>
biraz	biraz <adv> <Dan_0> <n> <3p>
biraz	biraz <det>
daha	daha <adv> <Dan_0> <n>
daha	daha <adv> <Dan_0> <n> <3s>
daha	daha <adv> <Dan_0> <n> <3p>
daha	daha <n>
daha	daha <n> <3s>
daha	daha <n> <3p>
hızlı	hızlı <adj> <Djn_0> <n>
hızlı	hızlı <adj> <Djn_0> <n> <3s>
hızlı	hızlı <adj> <Djn_0> <n> <3p>
hızlı	hızlı <adv>
