<S> <S>+BSTag
"Bunu	bun <n> <p3s> <3s>
"Bunu	bun <n> <p3s> <3p>
söylediği	söyle <v> <part_dik> <p3s> <3s>
söylediği	söyle <v> <part_dik> <p3s> <3p>
söylediği	söyle <v> <part_dik> <acc>
söylediği	söyle <v> <part_dik> <acc> <3s>
söylediği	söyle <v> <part_dik> <acc> <3p>
söylediği	söyle <v> <cv_dik> <p3s>
ilk	ilk <adj> <Djn_0> <n>
ilk	ilk <adj> <Djn_0> <n> <3s>
ilk	ilk <adj> <Djn_0> <n> <3p>
ilk	ilk <adv>
ilk	ilk <adv> <Dan_0> <n>
ilk	ilk <adv> <Dan_0> <n> <3s>
ilk	ilk <adv> <Dan_0> <n> <3p>
akıllıca	akıl <n> <D_lI> <adj> <Djn_0> <n> <D_CA> <adj>
akıllıca	akıl <n> <D_lI> <adj> <Djn_0> <n> <D_CA> <adv>
akıllıca	akıl <n> <D_lI> <n> <D_CA> <adj>
akıllıca	akıl <n> <D_lI> <n> <D_CA> <adj> <Djn_0> <n>
akıllıca	akıl <n> <D_lI> <n> <D_CA> <adj> <Djn_0> <n> <3s>
akıllıca	akıl <n> <D_lI> <n> <D_CA> <adj> <Djn_0> <n> <3p>
akıllıca	akıl <n> <D_lI> <n> <D_CA> <adv>
akıllıca	akıl <n> <D_lI> <n> <D_CA> <adv> <Dan_0> <n>
akıllıca	akıl <n> <D_lI> <n> <D_CA> <adv> <Dan_0> <n> <3s>
akıllıca	akıl <n> <D_lI> <n> <D_CA> <adv> <Dan_0> <n> <3p>
akıllıca	akıl <n> <D_lI> <n> <D_CA> <n>
akıllıca	akıl <n> <D_lI> <n> <D_CA> <n> <3s>
akıllıca	akıl <n> <D_lI> <n> <D_CA> <n> <3p>
şey	şey <n> <3s>
şey	şey <n> <3p>
buydu.	buy <v> <t_past> <3p>
buydu.	bu <prn> <dem> <cpl_di> <3s>
buydu.	bu <prn> <dem> <cpl_di> <3p>
buydu.	bu <prn> <dem> <3p> <cpl_di>
</S> </S>+ESTag
<S> <S>+BSTag
Kraliçe,	kraliçe <n> <3s>
Kraliçe,	kraliçe <n> <3p>
"Bu	bu <prn> <dem> <3s>
"Bu	bu <prn> <dem> <3p>
"Bu	bu <det>
da	<unk>
suçunu	suç <n> <p2s> <acc> <3s>
suçunu	suç <n> <p2s> <acc> <3p>
suçunu	suç <n> <p3s> <acc>
suçunu	suç <n> <p3s> <acc> <3s>
suçunu	suç <n> <p3s> <acc> <3p>
kanıtlıyor"	kanıtla <v> <t_cont> <3p>
kanıtlıyor"	kanıtla <v> <cv_iyor>
kanıtlıyor"	kanıt <n> <D_lA> <v> <t_cont> <3s>
kanıtlıyor"	kanıt <n> <D_lA> <v> <t_cont> <3p>
kanıtlıyor"	kanıt <n> <D_lA> <v> <cv_iyor>
dedi.	de <v> <t_past> <3p>
</S> </S>+ESTag
<S> <S>+BSTag
Alis:	<unk>
“Bu	<unk>
hiçbir	hiçbir <adj> <Djn_0> <n>
hiçbir	hiçbir <adj> <Djn_0> <n> <3s>
hiçbir	hiçbir <adj> <Djn_0> <n> <3p>
hiçbir	hiçbir <det>
şeyi	şey <n> <p3s> <3s>
şeyi	şey <n> <p3s> <3p>
şeyi	şey <n> <acc>
şeyi	şey <n> <acc> <3s>
şeyi	şey <n> <acc> <3p>
kanıtlamaz.”	<unk>
dedi.	de <v> <t_past> <3p>
</S> </S>+ESTag
<S> <S>+BSTag
"Daha	daha <adv> <Dan_0> <n>
"Daha	daha <adv> <Dan_0> <n> <3s>
"Daha	daha <adv> <Dan_0> <n> <3p>
"Daha	daha <n>
