kucağında	kucak <adj> <Djn_0> <n> <p2s> <loc> <3s>
kucağında	kucak <adj> <Djn_0> <n> <p2s> <loc> <3p>
kucağında	kucak <adj> <Djn_0> <n> <p3s> <loc>
kucağında	kucak <adj> <Djn_0> <n> <p3s> <loc> <3s>
kucağında	kucak <adj> <Djn_0> <n> <p3s> <loc> <3p>
kucağında	kucak <n> <p2s> <loc>
kucağında	kucak <n> <p2s> <loc> <3s>
kucağında	kucak <n> <p2s> <loc> <3p>
kucağında	kucak <n> <p3s> <loc>
kucağında	kucak <n> <p3s> <loc> <3s>
kucağında	kucak <n> <p3s> <loc> <3p>
bırakarak	<unk>
kıyıya	kıyı <n> <dat> <3s>
kıyıya	kıyı <n> <dat> <3p>
uzandı,	uzan <v> <t_past> <3p>
uzandı,	uza <v> <pass> <t_past> <3s>
uzandı,	uza <v> <pass> <t_past> <3p>
kız	kız <adj> <Djn_0> <n>
kız	kız <adj> <Djn_0> <n> <3s>
kız	kız <adj> <Djn_0> <n> <3p>
kız	kız <n>
kız	kız <n> <3s>
kız	kız <n> <3p>
kız	kız <v> <t_imp> <2s>
kız	kız <v> <t_imp> <3p>
kardeşi	kardeş <n> <p3s> <3s>
kardeşi	kardeş <n> <p3s> <3p>
kardeşi	kardeş <n> <acc>
kardeşi	kardeş <n> <acc> <3s>
kardeşi	kardeş <n> <acc> <3p>
de	de <v> <t_imp> <2s>
de	de <v> <t_imp> <3p>
ağaçlardan	ağaç <n> <pl> <abl> <3s>
ağaçlardan	ağaç <n> <pl> <abl> <3p>
düşen	düş <v> <part_yan> <3s>
düşen	düş <v> <part_yan> <3p>
yaprakları	yaprak <n> <pl> <p3s> <3s>
yaprakları	yaprak <n> <pl> <p3s> <3p>
yaprakları	yaprak <n> <pl> <acc>
yaprakları	yaprak <n> <pl> <acc> <3s>
yaprakları	yaprak <n> <pl> <acc> <3p>
yaprakları	yaprak <n> <p3p>
yaprakları	yaprak <n> <p3p> <3s>
yaprakları	yaprak <n> <p3p> <3p>
nazikçe	nazik <adj> <D_CA> <adj> <Djn_0> <n>
nazikçe	nazik <adj> <D_CA> <adj> <Djn_0> <n> <3s>
nazikçe	nazik <adj> <D_CA> <adj> <Djn_0> <n> <3p>
nazikçe	nazik <adj> <Djn_0> <n> <D_CA> <adj>
nazikçe	nazik <adj> <Djn_0> <n> <D_CA> <adj> <Djn_0> <n>
nazikçe	nazik <adj> <Djn_0> <n> <D_CA> <adj> <Djn_0> <n> <3s>
nazikçe	nazik <adj> <Djn_0> <n> <D_CA> <adj> <Djn_0> <n> <3p>
nazikçe	nazik <adj> <Djn_0> <n> <D_CA> <adv>
nazikçe	nazik <adj> <Djn_0> <n> <D_CA> <adv> <Dan_0> <n>
nazikçe	nazik <adj> <Djn_0> <n> <D_CA> <adv> <Dan_0> <n> <3s>
nazikçe	nazik <adj> <Djn_0> <n> <D_CA> <adv> <Dan_0> <n> <3p>
nazikçe	nazik <adj> <Djn_0> <n> <D_CA> <n>
nazikçe	nazik <adj> <Djn_0> <n> <D_CA> <n> <3s>
nazikçe	nazik <adj> <Djn_0> <n> <D_CA> <n> <3p>
silip	<unk>
süpürüyordu.	süpür <v> <t_cont> <cpl_di> <3p>
